2019-06-22 10:13:04,b'@roy_soumyojit hello boy'
2019-06-22 09:37:41,b'RT @prashar_mayank: life is awsm with @bgs2209 @roy_soumyojit'
2019-06-22 09:36:08,b'life is awsm with @bgs2209 @roy_soumyojit'
2019-06-22 09:34:43,b'hey are you guys learning this session or not ?\n@yash_j1301 @roy_soumyojit'
